model_key,model_label,model_kind,optimizer_step,sort_order,inference_steps,guidance,n,elapsed_seconds_mean,elapsed_seconds_std,clip_full_cosine_mean,clip_full_cosine_std,clip_content_cosine_mean,clip_content_cosine_std,clip_teacher_image_cosine_mean,clip_teacher_image_cosine_std,pixel_mae_mean,pixel_mae_std,clip_reference_image_cosine_mean,clip_reference_image_cosine_std,pixel_reference_mae_mean,pixel_reference_mae_std,elapsed_seconds_median,elapsed_seconds_p25,elapsed_seconds_p75,pixel_psnr_db_mean,pixel_psnr_db_std,speedup_vs_teacher,speedup_vs_teacher_median,speedup_vs_reference,speedup_vs_reference_median
reference,Reference 20-step,reference,0,-2,20,2.0,24,2.836740587496024,0.2553786392626568,0.3505452473958333,0.026149041878570617,0.3375345865885417,0.03566546239260718,0.9394764502843221,0.03503029229344789,0.048596985870972276,0.017188468780379256,0.9999945883949598,0.0005036804531678907,0.0,0.0,2.710331700014649,2.6872975500155007,2.9221899249969283,22.389501907072855,2.966791481558612,0.3038531453335132,0.31845140947956074,1.0,1.0
teacher,Teacher 10-step,teacher,0,-1,10,1.0,24,0.861952550005905,0.01889735716247094,0.352752685546875,0.022828560390588285,0.3324381510416667,0.03700998411686446,0.9999743103981018,0.0004647127571269545,0.0,0.0,0.9394764502843221,0.03503029229344789,0.048596985870972276,0.017188468780379256,0.863108950026799,0.8496538250183221,0.876913575004437,inf,0.0,1.0,1.0,3.291063513271804,3.1401964953908714
student_002000,Student 2000-update,student,2000,2000,5,1.0,24,0.5154903791650819,0.017839165102680295,0.3531901041666667,0.029712038933801598,0.3229878743489583,0.037794375746103136,0.9338443800806999,0.04272315616865655,0.037072937547539674,0.011040442122076395,0.8917093922694524,0.0746280101901977,0.06768269386763374,0.019062355342256598,0.5133154000213835,0.5007143750262912,0.5254522999894107,24.696861830235402,2.6059422388422187,1.6721021086794545,1.6814398126197732,5.502994240339798,5.280051406799295
student_004000,Student 4000-update,student,4000,4000,5,1.0,24,0.5148538708405491,0.018432968326334422,0.3588765462239583,0.029038813968910095,0.32257080078125,0.035385728170148026,0.9313092132409414,0.03484948018079975,0.03606938252535959,0.010298513901804546,0.8891452824076017,0.06583287920256939,0.06657147423053782,0.017244568808957975,0.5072990999906324,0.4996394500340102,0.5269888000184437,24.51559869693886,2.5628483913747084,1.6741693106020228,1.701380802849319,5.509797533161727,5.3426700344327385
student_006000,Student 6000-update,student,6000,6000,5,1.0,24,0.5094210875055675,0.06999308433445908,0.351837158203125,0.028479299986471134,0.3212483723958333,0.03549785170991867,0.9479464044173559,0.03372044383056841,0.029641591128893197,0.008854666933282818,0.9006112938125929,0.06505917089675681,0.06027580463948349,0.016337532318279238,0.49714470002800226,0.47431740001775324,0.5160886750090867,26.177960311679858,2.3395120690381863,1.6920236934567117,1.7361322568221755,5.56855744112678,5.45179642840804
student_008000,Student 8000-update,student,8000,8000,5,1.0,24,0.5142666666749088,0.018117002202844065,0.3518168131510417,0.02487615502037162,0.3225301106770833,0.034574695828700534,0.9556542187929153,0.030379138985646134,0.02811784502894928,0.00846751998920421,0.9083147346973419,0.05477231894119046,0.0584186555352062,0.01600370814397289,0.5068095000169706,0.5008462999976473,0.5310799750004662,26.541013820387946,2.3235765808791133,1.676080924278112,1.703024410548535,5.516088775182577,5.347831285569614
